"","","Population","","",""
"","FRO","1990","47.558","",""
"","FLK","1990","1.993","",""
"","FJI","1990","728.3390000000001","",""
"","FIN","1990","4986.705","",""
"","FRA","1990","56845.705","",""
"","GUF","1990","117.039","",""
"","PYF","1990","198.37","",""
"","GAB","1990","946.703","",""
"","GMB","1990","916.811","",""
"","GEO","1990","5460.309","",""
"","DEU","1990","80487.159","",""
"","GHA","1990","14628.693","",""
"","GRC","1990","10160.501","",""
"","GRL","1990","55.552","",""
"","GRD","1990","96.286","",""
"","GLP","1990","384.979","",""
"","GUM","1990","130.482","",""
"","GTM","1990","8890.329","",""
"","GIN","1990","6020.113","",""
"","GNB","1990","1017.385","",""
"","GUY","1990","725.043","",""
"","HTI","1990","7110.116","",""
"","HND","1990","4903.694","",""
"","HUN","1990","10385.061","",""
"","ISL","1990","254.83","",""
"","IND","1990","868890.7","",""
"","IDN","1990","178633.239","",""
"","IRN","1990","56361.868","",""
"","IRQ","1990","17517.521","",""
"","IRL","1990","3531.185","",""
"","IMN","1990","70.313","",""
"","ISR","1990","4499.161","",""
"","ITA","1990","56831.853","",""
"","JAM","1990","2365.211","",""
"","JPN","1990","122249.285","",""
"","JOR","1990","3358.453","",""
"","KAZ","1990","16171.9","",""
"","KEN","1990","23446.439","",""
"","KIR","1990","71.04000000000001","",""
"","KWT","1990","2059.774","",""
"","KGZ","1990","4394.502","",""
"","LAO","1990","4244.52","",""
"","LVA","1990","2663.985","",""
"","LBN","1990","2703.019","",""
"","LSO","1990","1597.534","",""
"","LBR","1990","2102.877","",""
"","LBY","1990","4259.811","",""
"","LIE","1990","28.986","",""
"","LTU","1990","3697.393","",""
"","LUX","1990","381.79","",""
"","MDG","1990","11545.782","",""
"","MWI","1990","9447.123","",""
"","MYS","1990","18211.097","",""
"","MDV","1990","215.859","",""
"","MLI","1990","7964.066","",""
"","MLT","1990","375.295","",""
"","MHL","1990","47.288","",""
"","MTQ","1990","358.458","",""
"","MRT","1990","2024.163","",""
"","MUS","1990","1055.865","",""
"","MYT","1990","92.43899999999999","",""
"","MEX","1990","86077.004","",""
"","FSM","1990","96.331","",""
"","MCO","1990","30.896","",""
"","MNG","1990","2184.159","",""
"","MNE","1990","614.601","",""
"","MSR","1990","10.714","",""
"","MAR","1990","24674.974","",""
"","MOZ","1990","13567.959","",""
"","MMR","1990","42123.003","",""
"","NAM","1990","1415.447","",""
"","NRU","1990","9.157","",""
"","NPL","1990","18111.2","",""
"","NLD","1990","14890.341","",""
"","ANT","1990","190.539","",""
"","NCL","1990","168.537","",""
"","NZL","1990","3397.983","",""
"","NIC","1990","4137.788","",""
"","NER","1990","7753.907","",""
"","NGA","1990","95617.35000000001","",""
"","NIU","1990","2.333","",""
"","MNP","1990","43.973","",""
"","NOR","1990","4240.375","",""
"","OMN","1990","1810.103","",""
"","PAK","1990","111090.879","",""
"","PLW","1990","15.089","",""
"","PSE","1990","2081.347","",""
"","PAN","1990","2486.776","",""
"","PNG","1990","4157.903","",""
"","PRY","1990","4249.747","",""
"","PER","1990","21772.035","",""
"","PHL","1990","61948.688","",""
"","POL","1990","38149.944","",""
"","PRT","1990","9899.450000000001","",""
"","PRI","1990","3517.984","",""
"","QAT","1990","476.517","",""
"","KOR","1990","42972.254","",""
"","MDA","1990","4364.114","",""
"","REU","1990","610.582","",""
"","ROU","1990","23372.101","",""
"","RUS","1990","148148.752","",""
"","RWA","1990","7214.696","",""
"","KNA","1990","40.731","",""
"","LCA","1990","138.18","",""
"","VCT","1990","107.509","",""
"","WSM","1990","162.865","",""
"","SMR","1990","24.134","",""
"","STP","1990","117.395","",""
"","SAU","1990","16206.078","",""
"","SEN","1990","7514.11","",""
"","SRB","1990","9735.429","",""
"","SYC","1990","69.474","",""
"","SLE","1990","4042.678","",""
"","SGP","1990","3016.404","",""
"","SVK","1990","5277.709","",""
"","SVN","1990","2003.772","",""
"","SLB","1990","311.849","",""
"","SOM","1990","6321.615","",""
"","ZAF","1990","36793.49","",""
"","SSD","1990","0","",""
"","ESP","1990","38883.045","",""
"","LKA","1990","17323.977","",""
"","SDN","1990","25773.02","",""
"","SUR","1990","406.764","",""
"","SWZ","1990","862.728","",""
"","SWE","1990","8559.107","",""
"","CHE","1990","6673.92","",""
"","SYR","1990","12451.539","",""
"","TJK","1990","5297.286","",""
"","MKD","1990","2009.71","",""
"","THA","1990","56582.726","",""
"","TLS","1990","751.4880000000001","",""
"","TGO","1990","3787.602","",""
"","TKL","1990","1.609","",""
"","TON","1990","95.16500000000001","",""
"","TTO","1990","1221.904","",""
"","TUN","1990","8135.302","",""
"","TUR","1990","53994.605","",""
"","TKM","1990","3668","",""
"","TCA","1990","11.549","",""
"","TUV","1990","9.004","",""
"","UGA","1990","17534.839","",""
"","UKR","1990","51658.594","",""
"","ARE","1990","1806.498","",""
"","GBR","1990","57214.478","",""
"","TZA","1990","25484.814","",""
"","USA","1990","254506.647","",""
"","VIR","1990","103.253","",""
"","URY","1990","3109.941","",""
"","UZB","1990","20555.113","",""
"","VUT","1990","146.633","",""
"","VEN","1990","19740.786","",""
"","VNM","1990","68909.883","",""
"","ESH","1990","216.828","",""
"","YEM","1990","11790.249","",""
"","ZMB","1990","7844.516","",""
"","ZWE","1990","10461.782","",""
"Total","1990","5300533.702","","",""
