"","","Population","","",""
"","","National","","",""
"","","","","",""
"ISO3","Year","x1000","","",""
"","AFG","1990","11731.193","",""
"","ALB","1990","3446.882","",""
"","DZA","1990","26239.708","",""
"","ASM","1990","47.052","",""
"","AND","1990","52.773","",""
"","AGO","1990","10333.844","",""
"","AIA","1990","8.332000000000001","",""
"","ATG","1990","61.906","",""
"","ARG","1990","32624.874","",""
"","ARM","1990","3544.695","",""
"","ABW","1990","62.148","",""
"","AUS","1990","17096.869","",""
"","AUT","1990","7670.001","",""
"","AZE","1990","7216.503","",""
"","BHS","1990","256.338","",""
"","BHR","1990","495.944","",""
"","BGD","1990","107385.847","",""
"","BRB","1990","259.336","",""
"","BLR","1990","10259.86","",""
"","BEL","1990","9978.241","",""
"","BLZ","1990","187.552","",""
"","BEN","1990","5001.271","",""
"","BMU","1990","59.795","",""
"","BTN","1990","535.7380000000001","",""
"","BOL","1990","6794.046","",""
"","BIH","1990","4526.511","",""
"","BWA","1990","1383.912","",""
"","BRA","1990","149648.341","",""
"","VGB","1990","16.491","",""
"","BRN","1990","256.929","",""
"","BGR","1990","8821.111000000001","",""
"","BFA","1990","8811.032999999999","",""
"","BDI","1990","5605.873","",""
"","KHM","1990","9057.339","",""
"","CMR","1990","12070.359","",""
"","CAN","1990","27657.79","",""
"","CPV","1990","351.96","",""
"","CYM","1990","26.048","",""
"","CAF","1990","2912.824","",""
"","TCD","1990","5951.574","",""
"","CIS","1990","140.669","",""
"","CHL","1990","13213.93","",""
"","CHN","1990","1165428.967","",""
"","HKG","1990","5794.034","",""
"","MAC","1990","359.735","",""
"","COL","1990","33306.941","",""
"","COM","1990","412.79","",""
"","COG","1990","2383.283","",""
"","COK","1990","17.614","",""
"","CRI","1990","3078.551","",""
"","CIV","1990","12115.806","",""
"","HRV","1990","4793.521","",""
"","CUB","1990","10600.841","",""
"","CYP","1990","766.611","",""
"","CZE","1990","10325.976","",""
"","PRK","1990","20194.361","",""
"","COD","1990","34910.591","",""
"","DNK","1990","5140.332","",""
"","DJI","1990","589.924","",""
"","DMA","1990","70.926","",""
"","DOM","1990","7245.127","",""
"","ECU","1990","10123.593","",""
"","EGY","1990","56336.614","",""
"","SLV","1990","5344.226","",""
"","GNQ","1990","373.851","",""
"","ERI","1990","3272.563","",""
"","EST","1990","1565.32","",""
"","ETH","1990","48042.755","",""
