"","","Population","","",""
"","","National","","",""
"","","","","",""
"ISO3","Year","x1000","","",""
"","ESP","2015","47199.069","",""
"","LKA","2015","21611.842","",""
"","SDN","2015","39613.217","",""
"","SUR","2015","548.456","",""
"","SWZ","2015","1285.519","",""
"","SWE","2015","9693.883","",""
"","CHE","2015","8238.610000000001","",""
"","SYR","2015","22264.996","",""
"","TJK","2015","8610.384","",""
"","MKD","2015","2109.251","",""
"","THA","2015","67400.746","",""
"","TLS","2015","1172.668","",""
"","TGO","2015","7170.797","",""
"","TKL","2015","1.152","",""
"","TON","2015","106.379","",""
"","TTO","2015","1346.697","",""
"","TUN","2015","11235.248","",""
"","TUR","2015","76690.50900000001","",""
"","TKM","2015","5373.487","",""
"","TCA","2015","40.797","",""
"","TUV","2015","9.942","",""
"","UGA","2015","40141.262","",""
"","UKR","2015","44646.131","",""
"","ARE","2015","9577.128000000001","",""
"","GBR","2015","63843.856","",""
"","TZA","2015","52290.796","",""
"","USA","2015","325127.634","",""
"","VIR","2015","106.906","",""
"","URY","2015","3429.997","",""
"","UZB","2015","29709.932","",""
"","VUT","2015","263.888","",""
"","VEN","2015","31292.702","",""
"","VNM","2015","93386.63","",""
"","ESH","2015","604.298","",""
"","YEM","2015","25535.086","",""
"","ZMB","2015","15519.604","",""
"","ZWE","2015","15046.102","",""
"Total","2015","7301319.378","","",""
