"","","Sanitation","","",""
"","","National","Progress towards MDG target","Proportion of the 2015 population that gained access since 1990 (%)",""
"","","Improved","","",""
"ISO3","Year","Total Improved (%)","","",""
"","MWI","2005.0","36.5","Moderate progress","25"
"","MYS","2005.0","93.4","Met target","45"
"","MDV","2005.0","89.1","Met target","57"
"","MLI","2005.0","20.2","Limited or no progress","18"
"","MLT","2005.0","100.0","Met target","13"
"","MHL","2005.0","72.7","Good progress","25"
"","MTQ","2005.0","91.7","NA",""
"","MRT","2005.0","29.5","Moderate progress","32"
"","MUS","2005.0","92.0","Moderate progress","16"
"","MYT","2005.0","","NA",""
"","MEX","2005.0","78.6","Met target","40"
"","FSM","2005.0","43.4","Good progress","39"
"","MCO","2005.0","100.0","Met target","13"
"","MNG","2005.0","52.7","Moderate progress",""
"","MNE","2005.0","90.9","NA",""
"","MSR","2005.0","82.9","NA",""
"","MAR","2005.0","68.9","Met target","39"
"","MOZ","2005.0","16.5","Limited or no progress","15"
"","MMR","2005.0","69.4","Met target",""
"","NAM","2005.0","29.8","Limited or no progress","20"
"","NRU","2005.0","65.7","Limited or no progress","9"
"","NPL","2005.0","29.9","Good progress","43"
"","NLD","2005.0","97.9","Met target","11"
"","ANT","2005.0","","NA",""
"","NCL","2005.0","100.0","Met target","36"
"","NZL","2005.0","","NA",""
"","NIC","2005.0","59.6","Good progress","39"
"","NER","2005.0","7.9","Limited or no progress","9"
"","NGA","2005.0","32.2","Limited or no progress","9"
"","NIU","2005.0","89.9","Met target",""
"","MNP","2005.0","76.2","Good progress","34"
"","NOR","2005.0","98.1","Met target","17"
"","OMN","2005.0","93.3","Met target","61"
"","PAK","2005.0","45.9","Met target","50"
"","PLW","2005.0","98.0","Met target","67"
"","PSE","2005.0","90.2","Met target",""
"","PAN","2005.0","69.6","Good progress","38"
"","PNG","2005.0","19.1","Limited or no progress","8"
"","PRY","2005.0","75.8","Met target","57"
"","PER","2005.0","67.6","Met target","39"
"","PHL","2005.0","67.1","Good progress","39"
"","POL","2005.0","90.6","NA",""
"","PRT","2005.0","97.6","Met target","13"
"","PRI","2005.0","99.3","Met target","4"
"","QAT","2005.0","98.8","Limited or no progress","78"
"","KOR","2005.0","100.0","Met target","14"
"","MDA","2005.0","73.9","Moderate progress",""
"","REU","2005.0","98.2","Met target","32"
"","ROU","2005.0","75.6","Moderate progress","3"
"","RUS","2005.0","72.4","Limited or no progress","-4"
"","RWA","2005.0","52.2","Good progress","42"
"","KNA","2005.0","87.3","NA",""
"","LCA","2005.0","85.7","Met target","32"
"","VCT","2005.0","76.1","NA",""
"","WSM","2005.0","92.0","Limited or no progress","13"
"","SMR","2005.0","","NA",""
"","STP","2005.0","26.9","Moderate progress",""
"","SAU","2005.0","99.7","Met target","50"
"","SEN","2005.0","42.6","Moderate progress","30"
"","SRB","2005.0","96.7","Limited or no progress","-4"
"","SYC","2005.0","98.4","Met target","25"
"","SLE","2005.0","11.9","Limited or no progress","7"
"","SGP","2005.0","100.0","Met target","47"
"","SVK","2005.0","98.9","Met target","3"
"","SVN","2005.0","99.1","Met target","4"
"","SLB","2005.0","26.8","NA",""
"","SOM","2005.0","22.4","NA",""
"","ZAF","2005.0","60.4","Moderate progress","31"
"","SSD","2005.0","","NA",""
"","ESP","2005.0","99.9","Met target","18"
"","LKA","2005.0","86.4","Met target","38"
"","SDN","2005.0","24.0","NA",""
"","SUR","2005.0","80.3","Limited or no progress",""
"","SWZ","2005.0","54.1","Limited or no progress","25"
"","SWE","2005.0","99.3","Met target","12"
"","CHE","2005.0","99.9","Met target","19"
"","SYR","2005.0","91.7","Met target","48"
"","TJK","2005.0","92.1","Met target",""
"","MKD","2005.0","90.0","NA",""
"","THA","2005.0","93.2","Met target","20"
"","TLS","2005.0","37.8","Limited or no progress",""
"","TGO","2005.0","11.4","Limited or no progress","5"
"","TKL","2005.0","71.4","Met target","27"
"","TON","2005.0","92.3","Limited or no progress","7"
"","TTO","2005.0","91.1","Moderate progress","10"
"","TUN","2005.0","85.6","Met target","39"
"","TUR","2005.0","90.6","Met target","36"
"","TKM","2005.0","62.6","NA",""
"","TCA","2005.0","81.4","NA",""
"","TUV","2005.0","81.1","NA",""
"","UGA","2005.0","16.8","Limited or no progress","13"
"","UKR","2005.0","95.1","Met target",""
"","ARE","2005.0","97.5","Met target","79"
"","GBR","2005.0","99.2","Met target","10"
"","TZA","2005.0","11.0","Limited or no progress","12"
"","USA","2005.0","99.8","Met target","22"
"","VIR","2005.0","96.4","Limited or no progress","3"
"","URY","2005.0","94.5","Met target","13"
"","UZB","2005.0","97.3","Met target","42"
"","VUT","2005.0","49.1","Good progress",""
"","VEN","2005.0","90.7","Met target","43"
"","VNM","2005.0","61.4","Met target","51"
"","ESH","2005.0","","NA",""
"","YEM","2005.0","47.3","NA",""
"","ZMB","2005.0","41.7","Limited or no progress","23"
"","ZWE","2005.0","38.6","Limited or no progress","9"
"Total","2005","62.0","Not met target","29",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
