"","","Water","","",""
"","","National","Progress towards MDG target","Proportion of the 2015 population that gained access since 1990 (%)",""
"","","Improved","","",""
"ISO3","Year","Total Improved (%)","","",""
"","MLT","1995.0","99.9","Met target","13"
"","MHL","1995.0","92.5","Met target","20"
"","MTQ","1995.0","81.5","Met target",""
"","MRT","1995.0","35.7","Good progress","43"
"","MUS","1995.0","99.2","Met target","16"
"","MYT","1995.0","","NA",""
"","MEX","1995.0","85.6","Met target","40"
"","FSM","1995.0","90.7","Limited or no progress","5"
"","MCO","1995.0","100.0","Met target","13"
"","MNG","1995.0","53.7","Moderate progress","25"
"","MNE","1995.0","","NA",""
"","MSR","1995.0","97.9","Met target","-69"
"","MAR","1995.0","75.8","Met target","33"
"","MOZ","1995.0","37.0","Moderate progress","33"
"","MMR","1995.0","60.9","Met target","35"
"","NAM","1995.0","74.1","Met target","50"
"","NRU","1995.0","","NA",""
"","NPL","1995.0","71.6","Met target","50"
"","NLD","1995.0","100.0","Met target","12"
"","ANT","1995.0","","NA",""
"","NCL","1995.0","","NA",""
"","NZL","1995.0","100.0","Met target","26"
"","NIC","1995.0","75.8","Met target","39"
"","NER","1995.0","38.7","Good progress","45"
"","NGA","1995.0","46.0","Met target","48"
"","NIU","1995.0","99.2","Met target","-83"
"","MNP","1995.0","94.8","Met target","35"
"","NOR","1995.0","100.0","Met target","18"
"","OMN","1995.0","80.3","Met target","59"
"","PAK","1995.0","87.4","Good progress","40"
"","PLW","1995.0","91.5","NA",""
"","PSE","1995.0","96.0","Limited or no progress",""
"","PAN","1995.0","86.9","Met target","42"
"","PNG","1995.0","33.6","Limited or no progress","22"
"","PRY","1995.0","63.6","Met target","66"
"","PER","1995.0","77.1","Met target","35"
"","PHL","1995.0","85.5","Met target","41"
"","POL","1995.0","95.0","Met target","4"
"","PRT","1995.0","97.1","Met target","10"
"","PRI","1995.0","93.6","NA",""
"","QAT","1995.0","98.7","Met target",""
"","KOR","1995.0","90.6","NA",""
"","MDA","1995.0","84.2","Moderate progress",""
"","REU","1995.0","99.0","Met target","32"
"","ROU","1995.0","79.8","Met target","20"
"","RUS","1995.0","94.2","Met target","-0"
"","RWA","1995.0","62.4","Good progress","42"
"","KNA","1995.0","98.3","Met target","26"
"","LCA","1995.0","93.4","Met target","27"
"","VCT","1995.0","90.8","Met target","8"
"","WSM","1995.0","91.1","Met target","24"
"","SMR","1995.0","","NA",""
"","STP","1995.0","74.0","Met target",""
"","SAU","1995.0","93.3","Met target","47"
"","SEN","1995.0","63.7","Met target","48"
"","SRB","1995.0","99.4","Met target","-4"
"","SYC","1995.0","95.7","Limited or no progress","25"
"","SLE","1995.0","42.0","Good progress","39"
"","SGP","1995.0","100.0","Met target","46"
"","SVK","1995.0","99.8","Met target","3"
"","SVN","1995.0","99.6","Met target","4"
"","SLB","1995.0","","NA",""
"","SOM","1995.0","21.0","NA",""
"","ZAF","1995.0","84.0","Met target","36"
"","SSD","1995.0","","NA",""
"","ESP","1995.0","99.9","Met target","18"
"","LKA","1995.0","74.0","Met target","41"
"","SDN","1995.0","65.5","NA",""
"","SUR","1995.0","88.3","Met target",""
"","SWZ","1995.0","42.7","Met target","48"
"","SWE","1995.0","100.0","Met target","12"
"","CHE","1995.0","100.0","Met target","19"
"","SYR","1995.0","86.1","Moderate progress","42"
"","TJK","1995.0","57.7","Good progress",""
"","MKD","1995.0","99.3","Met target","5"
"","THA","1995.0","89.6","Met target","24"
"","TLS","1995.0","52.8","Good progress",""
"","TGO","1995.0","50.5","Moderate progress","38"
"","TKL","1995.0","90.3","Met target","-25"
"","TON","1995.0","98.6","Met target","11"
"","TTO","1995.0","92.5","Met target","12"
"","TUN","1995.0","86.5","Met target","38"
"","TUR","1995.0","89.2","Met target","39"
"","TKM","1995.0","59.0","NA",""
"","TCA","1995.0","87.0","NA",""
"","TUV","1995.0","91.9","Met target","16"
"","UGA","1995.0","48.4","Met target","61"
"","UKR","1995.0","97.5","Limited or no progress",""
"","ARE","1995.0","99.7","Met target","81"
"","GBR","1995.0","100.0","Met target","10"
"","TZA","1995.0","54.2","Limited or no progress","29"
"","USA","1995.0","98.6","Met target","22"
"","VIR","1995.0","100.0","Met target","3"
"","URY","1995.0","95.4","Met target","14"
"","UZB","1995.0","89.6","NA",""
"","VUT","1995.0","69.2","Met target","60"
"","VEN","1995.0","90.0","Met target","37"
"","VNM","1995.0","70.1","Met target","51"
"","ESH","1995.0","","NA",""
"","YEM","1995.0","63.3","NA",""
"","ZMB","1995.0","51.0","Moderate progress","41"
"","ZWE","1995.0","79.5","Limited or no progress","22"
"Total","1995","79.3","Met target","35",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
