"","","Population","","",""
"","","National","","",""
"","","","","",""
"ISO3","Year","x1000","","",""
"","AFG","2010","28397.812","",""
"","ALB","2010","3150.143","",""
"","DZA","2010","37062.82","",""
"","ASM","2010","68.42","",""
"","AND","2010","84.864","",""
"","AGO","2010","19549.124","",""
"","AIA","2010","15.358","",""
"","ATG","2010","87.233","",""
"","ARG","2010","40374.224","",""
"","ARM","2010","2963.496","",""
"","ABW","2010","101.597","",""
"","AUS","2010","22404.488","",""
"","AUT","2010","8401.924000000001","",""
"","AZE","2010","9094.718000000001","",""
"","BHS","2010","360.498","",""
"","BHR","2010","1251.513","",""
"","BGD","2010","151125.475","",""
"","BRB","2010","280.396","",""
"","BLR","2010","9491.07","",""
"","BEL","2010","10941.288","",""
"","BLZ","2010","308.595","",""
"","BEN","2010","9509.798000000001","",""
"","BMU","2010","64.941","",""
"","BTN","2010","716.939","",""
"","BOL","2010","10156.601","",""
"","BIH","2010","3845.929","",""
"","BWA","2010","1969.341","",""
"","BRA","2010","195210.154","",""
"","VGB","2010","23.245","",""
"","BRN","2010","400.569","",""
"","BGR","2010","7389.175","",""
"","BFA","2010","15540.284","",""
"","BDI","2010","9232.753000000001","",""
"","KHM","2010","14364.931","",""
"","CMR","2010","20624.343","",""
"","CAN","2010","34126.24","",""
"","CPV","2010","487.601","",""
"","CYM","2010","56.23","",""
"","CAF","2010","4349.921","",""
"","TCD","2010","11720.781","",""
"","CIS","2010","159.518","",""
"","CHL","2010","17150.76","",""
"","CHN","2010","1359821.465","",""
"","HKG","2010","7049.514","",""
"","MAC","2010","534.626","",""
"","COL","2010","46444.798","",""
"","COM","2010","683.081","",""
"","COG","2010","4111.715","",""
"","COK","2010","20.288","",""
"","CRI","2010","4669.685","",""
"","CIV","2010","18976.588","",""
"","HRV","2010","4338.027","",""
"","CUB","2010","11281.768","",""
"","CYP","2010","1103.685","",""
"","CZE","2010","10553.701","",""
"","PRK","2010","24500.52","",""
"","COD","2010","62191.161","",""
"","DNK","2010","5550.959","",""
"","DJI","2010","834.0359999999999","",""
"","DMA","2010","67.75700000000001","",""
"","DOM","2010","10016.797","",""
"","ECU","2010","15001.072","",""
"","EGY","2010","78075.705","",""
"","SLV","2010","6218.195","",""
"","GNQ","2010","696.167","",""
"","ERI","2010","5741.159","",""
"","EST","2010","1298.533","",""
