"","","Population","","",""
"","ETH","2010","87095.281","",""
"","FRO","2010","48.708","",""
"","FLK","2010","3.017","",""
"","FJI","2010","860.559","",""
"","FIN","2010","5367.693","",""
"","FRA","2010","63230.866","",""
"","GUF","2010","231.169","",""
"","PYF","2010","268.065","",""
"","GAB","2010","1556.222","",""
"","GMB","2010","1680.64","",""
"","GEO","2010","4388.674","",""
"","DEU","2010","83017.40399999999","",""
"","GHA","2010","24262.901","",""
"","GRC","2010","11109.999","",""
"","GRL","2010","57.296","",""
"","GRD","2010","104.677","",""
"","GLP","2010","458.57","",""
"","GUM","2010","159.44","",""
"","GTM","2010","14341.576","",""
"","GIN","2010","10876.033","",""
"","GNB","2010","1586.624","",""
"","GUY","2010","786.126","",""
"","HTI","2010","9896.4","",""
"","HND","2010","7621.204","",""
"","HUN","2010","10014.633","",""
"","ISL","2010","318.042","",""
"","IND","2010","1205624.648","",""
"","IDN","2010","240676.485","",""
"","IRN","2010","74462.314","",""
"","IRQ","2010","30962.38","",""
"","IRL","2010","4467.561","",""
"","IMN","2010","82.869","",""
"","ISR","2010","7420.368","",""
"","ITA","2010","60508.978","",""
"","JAM","2010","2741.485","",""
"","JPN","2010","127352.833","",""
"","JOR","2010","6454.554","",""
"","KAZ","2010","15921.127","",""
"","KEN","2010","40909.194","",""
"","KIR","2010","97.74299999999999","",""
"","KWT","2010","2991.58","",""
"","KGZ","2010","5334.223","",""
"","LAO","2010","6395.713","",""
"","LVA","2010","2090.519","",""
"","LBN","2010","4341.092","",""
"","LSO","2010","2008.921","",""
"","LBR","2010","3957.99","",""
"","LBY","2010","6040.612","",""
"","LIE","2010","36.032","",""
"","LTU","2010","3068.457","",""
"","LUX","2010","507.885","",""
"","MDG","2010","21079.532","",""
"","MWI","2010","15013.694","",""
"","MYS","2010","28275.835","",""
"","MDV","2010","325.694","",""
"","MLI","2010","13985.961","",""
"","MLT","2010","424.738","",""
"","MHL","2010","54.038","",""
"","MTQ","2010","400.81","",""
"","MRT","2010","3609.42","",""
"","MUS","2010","1230.659","",""
"","MYT","2010","204.353","",""
"","MEX","2010","117886.404","",""
"","FSM","2010","103.619","",""
"","MCO","2010","35.407","",""
"","MNG","2010","2712.738","",""
"","MNE","2010","620.078","",""
"","MSR","2010","5.934","",""
"","MAR","2010","31642.36","",""
"","MOZ","2010","23967.265","",""
"","MMR","2010","51931.231","",""
"","NAM","2010","2178.967","",""
"","NRU","2010","10.255","",""
"","NPL","2010","26846.016","",""
"","NLD","2010","16615.243","",""
"","ANT","2010","200.689","",""
"","NCL","2010","246.379","",""
"","NZL","2010","4368.136","",""
"","NIC","2010","5822.209","",""
"","NER","2010","15893.746","",""
"","NGA","2010","159707.78","",""
"","NIU","2010","1.468","",""
"","MNP","2010","60.917","",""
"","NOR","2010","4891.251","",""
"","OMN","2010","2802.768","",""
"","PAK","2010","173149.306","",""
"","PLW","2010","20.472","",""
"","PSE","2010","4012.88","",""
"","PAN","2010","3678.128","",""
"","PNG","2010","6858.945","",""
"","PRY","2010","6459.721","",""
"","PER","2010","29262.83","",""
"","PHL","2010","93444.322","",""
"","POL","2010","38198.754","",""
"","PRT","2010","10589.792","",""
"","PRI","2010","3709.671","",""
"","QAT","2010","1749.713","",""
"","KOR","2010","48453.931","",""
"","MDA","2010","3573.024","",""
"","REU","2010","844.579","",""
"","ROU","2010","21861.476","",""
"","RUS","2010","143617.913","",""
"","RWA","2010","10836.732","",""
"","KNA","2010","52.402","",""
"","LCA","2010","177.397","",""
"","VCT","2010","109.316","",""
"","WSM","2010","186.029","",""
"","SMR","2010","31.534","",""
"","STP","2010","178.228","",""
"","SAU","2010","27258.387","",""
"","SEN","2010","12950.564","",""
"","SRB","2010","9647.109","",""
"","SYC","2010","91.208","",""
"","SLE","2010","5751.976","",""
"","SGP","2010","5078.969","",""
"","SVK","2010","5433.437","",""
"","SVN","2010","2054.232","",""
"","SLB","2010","526.447","",""
"","SOM","2010","9636.173000000001","",""
"","ZAF","2010","51452.352","",""
"","SSD","2010","0","",""
"","ESP","2010","46182.038","",""
"","LKA","2010","20758.779","",""
"","SDN","2010","45592.931","",""
"","SUR","2010","524.96","",""
"","SWZ","2010","1193.148","",""
"","SWE","2010","9382.297","",""
"","CHE","2010","7830.534","",""
"","SYR","2010","21532.647","",""
"","TJK","2010","7627.326","",""
"","MKD","2010","2102.216","",""
"","THA","2010","66402.31600000001","",""
"","TLS","2010","1079.45","",""
"","TGO","2010","6306.014","",""
"","TKL","2010","1.135","",""
"","TON","2010","104.098","",""
"","TTO","2010","1328.095","",""
"","TUN","2010","10631.83","",""
"","TUR","2010","72137.546","",""
"","TKM","2010","5041.995","",""
"","TCA","2010","38.354","",""
"","TUV","2010","9.827","",""
"","UGA","2010","33987.213","",""
"","UKR","2010","46050.22","",""
"","ARE","2010","8441.537","",""
"","GBR","2010","62066.35","",""
"","TZA","2010","44973.33","",""
"","USA","2010","312247.116","",""
"","VIR","2010","106.382","",""
"","URY","2010","3371.982","",""
"","UZB","2010","27769.27","",""
"","VUT","2010","236.299","",""
"","VEN","2010","29043.283","",""
"","VNM","2010","89047.397","",""
"","ESH","2010","514.648","",""
"","YEM","2010","22763.008","",""
"","ZMB","2010","13216.985","",""
"","ZWE","2010","13076.978","",""
"Total","2010","6893006.571","","",""
