"","","Sanitation","","",""
"","","National","Progress towards MDG target","Proportion of the 2015 population that gained access since 1990 (%)",""
"","","Improved","","",""
"ISO3","Year","Total Improved (%)","","",""
"","AFG","1995.0","20.6","Limited or no progress",""
"","ALB","1995.0","79.4","Met target","9"
"","DZA","1995.0","81.7","Good progress","36"
"","ASM","1995.0","61.1","Limited or no progress","24"
"","AND","1995.0","100.0","Met target","42"
"","AGO","1995.0","25.5","Good progress","41"
"","AIA","1995.0","91.5","Met target",""
"","ATG","1995.0","79.6","NA",""
"","ARG","1995.0","89.5","Met target","29"
"","ARM","1995.0","89.4","Limited or no progress",""
"","ABW","1995.0","98.4","Met target","39"
"","AUS","1995.0","100.0","Met target","29"
"","AUT","1995.0","100.0","Met target","10"
"","AZE","1995.0","62.7","Met target",""
"","BHS","1995.0","88.0","Met target",""
"","BHR","1995.0","99.1","Met target","63"
"","BGD","1995.0","40.0","Good progress","38"
"","BRB","1995.0","83.4","Met target","24"
"","BLR","1995.0","95.0","Limited or no progress","-11"
"","BEL","1995.0","99.5","Met target","11"
"","BLZ","1995.0","79.3","Met target","50"
"","BEN","1995.0","9.4","Limited or no progress","17"
"","BMU","1995.0","","NA",""
"","BTN","1995.0","23.6","Good progress","37"
"","BOL","1995.0","33.2","Moderate progress","33"
"","BIH","1995.0","95.0","Limited or no progress",""
"","BWA","1995.0","46.1","Good progress","37"
"","BRA","1995.0","70.8","Met target","34"
"","VGB","1995.0","97.5","Met target","32"
"","BRN","1995.0","","NA",""
"","BGR","1995.0","85.5","Limited or no progress","-20"
"","BFA","1995.0","9.2","Limited or no progress","16"
"","BDI","1995.0","43.0","Limited or no progress","26"
"","KHM","1995.0","7.7","Good progress","41"
"","CMR","1995.0","41.0","Limited or no progress","25"
"","CAN","1995.0","99.8","Met target","23"
"","CPV","1995.0","34.6","Met target",""
"","CYM","1995.0","95.6","Limited or no progress","53"
"","CAF","1995.0","15.6","Limited or no progress","13"
"","TCD","1995.0","8.8","Limited or no progress","9"
"","CIS","1995.0","","NA",""
"","CHL","1995.0","88.3","Met target","37"
"","CHN","1995.0","53.2","Met target","37"
"","HKG","1995.0","","NA",""
"","MAC","1995.0","","NA",""
"","COL","1995.0","72.0","Good progress","35"
"","COM","1995.0","21.3","Moderate progress","26"
"","COG","1995.0","","NA",""
"","COK","1995.0","91.7","Met target",""
"","CRI","1995.0","90.0","Met target","40"
