"","","Population","","",""
"","ETH","2005","76167.24000000001","",""
"","FRO","2005","48.258","",""
"","FLK","2005","2.958","",""
"","FJI","2005","822.484","",""
"","FIN","2005","5246.368","",""
"","FRA","2005","61444.972","",""
"","GUF","2005","202.01","",""
"","PYF","2005","254.884","",""
"","GAB","2005","1379.465","",""
"","GMB","2005","1436.549","",""
"","GEO","2005","4475.306","",""
"","DEU","2005","83835.978","",""
"","GHA","2005","21384.034","",""
"","GRC","2005","11041.642","",""
"","GRL","2005","57.19","",""
"","GRD","2005","102.951","",""
"","GLP","2005","443.875","",""
"","GUM","2005","158.401","",""
"","GTM","2005","12678.919","",""
"","GIN","2005","9576.331","",""
"","GNB","2005","1421.515","",""
"","GUY","2005","760.8339999999999","",""
"","HTI","2005","9260.879000000001","",""
"","HND","2005","6898.825","",""
"","HUN","2005","10095.964","",""
"","ISL","2005","296.745","",""
"","IND","2005","1127143.548","",""
"","IDN","2005","224480.901","",""
"","IRN","2005","70152.38400000001","",""
"","IRQ","2005","27377.045","",""
"","IRL","2005","4158.002","",""
"","IMN","2005","79.994","",""
"","ISR","2005","6603.677","",""
"","ITA","2005","58671.855","",""
"","JAM","2005","2682.149","",""
"","JPN","2005","126978.754","",""
"","JOR","2005","5239.417","",""
"","KAZ","2005","15064.088","",""
"","KEN","2005","35785.718","",""
"","KIR","2005","90.468","",""
"","KWT","2005","2296.314","",""
"","KGZ","2005","5042.381","",""
"","LAO","2005","5790.646","",""
"","LVA","2005","2227.559","",""
"","LBN","2005","3986.865","",""
"","LSO","2005","1925.844","",""
"","LBR","2005","3269.786","",""
"","LBY","2005","5594.45","",""
"","LIE","2005","34.696","",""
"","LTU","2005","3286.782","",""
"","LUX","2005","457.847","",""
"","MDG","2005","18290.394","",""
"","MWI","2005","12924.746","",""
"","MYS","2005","25843.466","",""
"","MDV","2005","297.576","",""
"","MLI","2005","11941.258","",""
"","MLT","2005","414.747","",""
"","MHL","2005","52.037","",""
"","MTQ","2005","396.206","",""
"","MRT","2005","3146.164","",""
"","MUS","2005","1212.752","",""
"","MYT","2005","174.993","",""
"","MEX","2005","110731.826","",""
"","FSM","2005","106.198","",""
"","MCO","2005","35.26","",""
"","MNG","2005","2526.502","",""
"","MNE","2005","615.8200000000001","",""
"","MSR","2005","5.599","",""
"","MAR","2005","30125.445","",""
"","MOZ","2005","21010.376","",""
"","MMR","2005","50181.02","",""
"","NAM","2005","2027.026","",""
"","NRU","2005","10.114","",""
"","NPL","2005","25292.058","",""
"","NLD","2005","16302.242","",""
"","ANT","2005","185.967","",""
"","NCL","2005","228.714","",""
"","NZL","2005","4134.117","",""
"","NIC","2005","5455.219","",""
"","NER","2005","13183.798","",""
"","NGA","2005","139585.891","",""
"","NIU","2005","1.686","",""
"","MNP","2005","67.381","",""
"","NOR","2005","4624.388","",""
"","OMN","2005","2522.325","",""
"","PAK","2005","157971.415","",""
"","PLW","2005","19.906","",""
"","PSE","2005","3559.856","",""
"","PAN","2005","3365.929","",""
"","PNG","2005","6095.959","",""
"","PRY","2005","5904.17","",""
"","PER","2005","27723.281","",""
"","PHL","2005","85821.21400000001","",""
"","POL","2005","38206.337","",""
"","PRT","2005","10510.967","",""
"","PRI","2005","3761.143","",""
"","QAT","2005","821.159","",""
"","KOR","2005","47033.082","",""
"","MDA","2005","3767.077","",""
"","REU","2005","790.9829999999999","",""
"","ROU","2005","22113.264","",""
"","RUS","2005","143932.966","",""
"","RWA","2005","9429.457","",""
"","KNA","2005","49.173","",""
"","LCA","2005","165.407","",""
"","VCT","2005","108.749","",""
"","WSM","2005","179.928","",""
"","SMR","2005","30.301","",""
"","STP","2005","154.615","",""
"","SAU","2005","24690.067","",""
"","SEN","2005","11270.826","",""
"","SRB","2005","9956.359","",""
"","SYC","2005","87.09399999999999","",""
"","SLE","2005","5119.895","",""
"","SGP","2005","4495.537","",""
"","SVK","2005","5391.489","",""
"","SVN","2005","2000.349","",""
"","SLB","2005","469.306","",""
"","SOM","2005","8466.938","",""
"","ZAF","2005","48235.291","",""
"","SSD","2005","0","",""
"","ESP","2005","43387.477","",""
"","LKA","2005","19951.291","",""
"","SDN","2005","39625.222","",""
"","SUR","2005","499.523","",""
"","SWZ","2005","1104.642","",""
"","SWE","2005","9030.163","",""
"","CHE","2005","7408.608","",""
"","SYR","2005","18167.367","",""
"","TJK","2005","6805.655","",""
"","MKD","2005","2090.044","",""
"","THA","2005","65559.48699999999","",""
"","TLS","2005","995.619","",""
"","TGO","2005","5540.214","",""
"","TKL","2005","1.21","",""
"","TON","2005","100.96","",""
"","TTO","2005","1296.933","",""
"","TUN","2005","10051.352","",""
"","TUR","2005","67743.052","",""
"","TKM","2005","4747.839","",""
"","TCA","2005","30.531","",""
"","TUV","2005","9.694000000000001","",""
"","UGA","2005","28724.869","",""
"","UKR","2005","47135.932","",""
"","ARE","2005","4148.883","",""
"","GBR","2005","60291.414","",""
"","TZA","2005","38824.384","",""
"","USA","2005","298165.797","",""
"","VIR","2005","107.768","",""
"","URY","2005","3325.155","",""
"","UZB","2005","26044.401","",""
"","VUT","2005","209.375","",""
"","VEN","2005","26725.897","",""
"","VNM","2005","84947.852","",""
"","ESH","2005","427.782","",""
"","YEM","2005","20139.661","",""
"","ZMB","2005","11470.022","",""
"","ZWE","2005","12710.589","",""
"Total","2005","6491327.757","","",""
