"","","Population","","",""
"","","National","","",""
"","","","","",""
"ISO3","Year","x1000","","",""
"","AFG","2005","24860.855","",""
"","ALB","2005","3196.13","",""
"","DZA","2005","33960.903","",""
"","ASM","2005","62.962","",""
"","AND","2005","77.88800000000001","",""
"","AGO","2005","16544.376","",""
"","AIA","2005","13.574","",""
"","ATG","2005","82.565","",""
"","ARG","2005","38647.854","",""
"","ARM","2005","3014.917","",""
"","ABW","2005","100.031","",""
"","AUS","2005","20520.736","",""
"","AUT","2005","8238.603999999999","",""
"","AZE","2005","8563.397999999999","",""
"","BHS","2005","329.088","",""
"","BHR","2005","879.534","",""
"","BGD","2005","143135.18","",""
"","BRB","2005","273.568","",""
"","BLR","2005","9664.714","",""
"","BEL","2005","10508.08","",""
"","BLZ","2005","271.92","",""
"","BEN","2005","8182.362","",""
"","BMU","2005","64.13","",""
"","BTN","2005","650.417","",""
"","BOL","2005","9354.709000000001","",""
"","BIH","2005","3879.828","",""
"","BWA","2005","1875.805","",""
"","BRA","2005","186142.403","",""
"","VGB","2005","21.99","",""
"","BRN","2005","367.815","",""
"","BGR","2005","7683.264","",""
"","BFA","2005","13421.929","",""
"","BDI","2005","7770.392","",""
"","KHM","2005","13356.424","",""
"","CMR","2005","18137.734","",""
"","CAN","2005","32253.092","",""
"","CPV","2005","478.651","",""
"","CYM","2005","52.268","",""
"","CAF","2005","3960.897","",""
"","TCD","2005","10014.413","",""
"","CIS","2005","154.298","",""
"","CHL","2005","16337.749","",""
"","CHN","2005","1318176.835","",""
"","HKG","2005","6896.686","",""
"","MAC","2005","468.149","",""
"","COL","2005","43184.026","",""
"","COM","2005","600.7329999999999","",""
"","COG","2005","3542.867","",""
"","COK","2005","19.402","",""
"","CRI","2005","4320.13","",""
"","CIV","2005","17393.994","",""
"","HRV","2005","4388.857","",""
"","CUB","2005","11292.078","",""
"","CYP","2005","1032.586","",""
"","CZE","2005","10230.683","",""
"","PRK","2005","23813.333","",""
"","COD","2005","54028.003","",""
"","DNK","2005","5417.692","",""
"","DJI","2005","776.585","",""
"","DMA","2005","68.925","",""
"","DOM","2005","9343.361999999999","",""
"","ECU","2005","13777.131","",""
"","EGY","2005","71777.678","",""
"","SLV","2005","6072.538","",""
"","GNQ","2005","603.648","",""
"","ERI","2005","4854.066","",""
"","EST","2005","1325.112","",""
