"","","Sanitation","","",""
"","","National","Progress towards MDG target","Proportion of the 2015 population that gained access since 1990 (%)",""
"","","Improved","","",""
"ISO3","Year","Total Improved (%)","","",""
"","AFG","2015.0","31.9","Limited or no progress",""
"","ALB","2015.0","93.2","Met target","9"
"","DZA","2015.0","87.6","Good progress","36"
"","ASM","2015.0","62.5","Limited or no progress","24"
"","AND","2015.0","100.0","Met target","42"
"","AGO","2015.0","51.6","Good progress","41"
"","AIA","2015.0","97.9","Met target",""
"","ATG","2015.0","","NA",""
"","ARG","2015.0","96.4","Met target","29"
"","ARM","2015.0","89.5","Limited or no progress",""
"","ABW","2015.0","97.7","Met target","39"
"","AUS","2015.0","100.0","Met target","29"
"","AUT","2015.0","100.0","Met target","10"
"","AZE","2015.0","89.3","Met target",""
"","BHS","2015.0","92.0","Met target",""
"","BHR","2015.0","99.2","Met target","63"
"","BGD","2015.0","60.6","Good progress","38"
"","BRB","2015.0","96.2","Met target","24"
"","BLR","2015.0","94.3","Limited or no progress","-11"
"","BEL","2015.0","99.5","Met target","11"
"","BLZ","2015.0","90.5","Met target","50"
"","BEN","2015.0","19.7","Limited or no progress","17"
"","BMU","2015.0","","NA",""
"","BTN","2015.0","50.4","Good progress","37"
"","BOL","2015.0","50.3","Moderate progress","33"
"","BIH","2015.0","94.8","Limited or no progress",""
"","BWA","2015.0","63.4","Good progress","37"
"","BRA","2015.0","82.8","Met target","34"
"","VGB","2015.0","97.5","Met target","32"
"","BRN","2015.0","","NA",""
"","BGR","2015.0","86.0","Limited or no progress","-20"
"","BFA","2015.0","19.7","Limited or no progress","16"
"","BDI","2015.0","48.0","Limited or no progress","26"
"","KHM","2015.0","42.4","Good progress","41"
"","CMR","2015.0","45.8","Limited or no progress","25"
"","CAN","2015.0","99.8","Met target","23"
"","CPV","2015.0","72.2","Met target",""
"","CYM","2015.0","95.6","Limited or no progress","53"
"","CAF","2015.0","21.8","Limited or no progress","13"
"","TCD","2015.0","12.1","Limited or no progress","9"
"","CIS","2015.0","","NA",""
"","CHL","2015.0","99.1","Met target","37"
"","CHN","2015.0","76.5","Met target","37"
"","HKG","2015.0","","NA",""
"","MAC","2015.0","","NA",""
"","COL","2015.0","81.1","Good progress","35"
"","COM","2015.0","35.8","Moderate progress","26"
"","COG","2015.0","15.0","NA",""
"","COK","2015.0","97.6","Met target",""
"","CRI","2015.0","94.5","Met target","40"
