"","","Population","","",""
"","","National","","",""
"","","","","",""
"ISO3","Year","x1000","","",""
"","ESP","1995","39420.568","",""
"","LKA","1995","18241.711","",""
"","SDN","1995","29963.988","",""
"","SUR","1995","435.776","",""
"","SWZ","1995","963.428","",""
"","SWE","1995","8826.719999999999","",""
"","CHE","1995","7017.042","",""
"","SYR","1995","14338.24","",""
"","TJK","1995","5784.33","",""
"","MKD","1995","1967.013","",""
"","THA","1995","58983.954","",""
"","TLS","1995","866.7","",""
"","TGO","1995","4284.497","",""
"","TKL","1995","1.52","",""
"","TON","1995","95.928","",""
"","TTO","1995","1255.001","",""
"","TUN","1995","8982.648999999999","",""
"","TUR","1995","58522.32","",""
"","TKM","1995","4188.01","",""
"","TCA","1995","15.333","",""
"","TUV","1995","9.227","",""
"","UGA","1995","20740.726","",""
"","UKR","1995","51146.967","",""
"","ARE","1995","2346.305","",""
"","GBR","1995","57997.197","",""
"","TZA","1995","29944.302","",""
"","USA","1995","268039.654","",""
"","VIR","1995","107.018","",""
"","URY","1995","3224.383","",""
"","UZB","1995","22950.898","",""
"","VUT","1995","168.236","",""
"","VEN","1995","22092.144","",""
"","VNM","1995","76020.04300000001","",""
"","ESH","1995","253.302","",""
"","YEM","1995","15018.201","",""
"","ZMB","1995","8841.338","",""
"","ZWE","1995","11639.364","",""
"Total","1995","5720612.526","","",""
